timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-02-21T23:30:37.187138,Grid,"Sampaloc, Manila",2.3625,38,58,123,628,5.5978,33,628
2025-02-21T23:30:50.414618,Grid,"Sampaloc, Manila",2.3783,38,58,123,628,5.5375,33,628
2025-02-21T23:31:03.652486,Grid,"Sampaloc, Manila",2.3855,38,58,123,628,5.5306,33,628
2025-02-21T23:31:16.933998,Grid,"Sampaloc, Manila",2.3983,38,58,123,628,5.5297,33,628
2025-02-21T23:31:30.239428,Grid,"Sampaloc, Manila",2.3786,38,58,123,628,5.5679,33,628
2025-02-21T23:31:43.536281,Grid,"Sampaloc, Manila",2.3705,38,58,123,628,5.5551,33,628
2025-02-21T23:31:56.778236,Grid,"Sampaloc, Manila",2.3719,38,58,123,628,5.5101,33,628
2025-02-21T23:32:10.057600,Grid,"Sampaloc, Manila",2.3598,38,58,123,628,5.5486,33,628
2025-02-21T23:32:23.335235,Grid,"Sampaloc, Manila",2.3719,38,58,123,628,5.527,33,628
2025-02-21T23:32:36.570772,Grid,"Sampaloc, Manila",2.3585,38,58,123,628,5.5205,33,628
2025-02-21T23:32:50.035473,Grid,"Sampaloc, Manila",2.4094,38,58,123,628,5.6551,33,628
2025-02-21T23:33:03.293756,Grid,"Sampaloc, Manila",2.3724,38,58,123,628,5.5401,33,628
2025-02-21T23:33:16.534499,Grid,"Sampaloc, Manila",2.3737,38,58,123,628,5.5031,33,628
2025-02-21T23:33:29.803737,Grid,"Sampaloc, Manila",2.3542,38,58,123,628,5.5435,33,628
2025-02-21T23:33:43.078057,Grid,"Sampaloc, Manila",2.3907,38,58,123,628,5.5185,33,628
2025-02-21T23:33:56.308543,Grid,"Sampaloc, Manila",2.3748,38,58,123,628,5.5365,33,628
2025-02-21T23:34:09.564515,Grid,"Sampaloc, Manila",2.3721,38,58,123,628,5.5436,33,628
2025-02-21T23:34:22.814684,Grid,"Sampaloc, Manila",2.3691,38,58,123,628,5.5818,33,628
2025-02-21T23:34:36.062178,Grid,"Sampaloc, Manila",2.3746,38,58,123,628,5.5927,33,628
2025-02-21T23:34:49.245039,Grid,"Sampaloc, Manila",2.3751,38,58,123,628,5.5108,33,628
2025-02-21T23:35:02.480290,Grid,"Sampaloc, Manila",2.3784,38,58,123,628,5.5164,33,628
2025-02-21T23:35:15.771022,Grid,"Sampaloc, Manila",2.3659,38,58,123,628,5.5637,33,628
2025-02-21T23:35:29.027221,Grid,"Sampaloc, Manila",2.369,38,58,123,628,5.5446,33,628
2025-02-21T23:35:42.481056,Grid,"Sampaloc, Manila",2.4107,38,58,123,628,5.6431,33,628
2025-02-21T23:35:55.735080,Grid,"Sampaloc, Manila",2.3626,38,58,123,628,5.5178,33,628
2025-02-21T23:36:08.980478,Grid,"Sampaloc, Manila",2.3494,38,58,123,628,5.5047,33,628
2025-02-21T23:36:22.251262,Grid,"Sampaloc, Manila",2.3628,38,58,123,628,5.5209,33,628
2025-02-21T23:36:35.602066,Grid,"Sampaloc, Manila",2.3553,38,58,123,628,5.5938,33,628
2025-02-21T23:36:48.861052,Grid,"Sampaloc, Manila",2.3612,38,58,123,628,5.533,33,628
2025-02-21T23:37:02.121940,Grid,"Sampaloc, Manila",2.3636,38,58,123,628,5.5273,33,628
2025-02-21T23:37:15.388141,Grid,"Sampaloc, Manila",2.3593,38,58,123,628,5.5447,33,628
2025-02-21T23:37:28.561226,Grid,"Sampaloc, Manila",2.3438,38,58,123,628,5.5097,33,628
2025-02-21T23:37:41.838632,Grid,"Sampaloc, Manila",2.3562,38,58,123,628,5.5669,33,628
2025-02-21T23:37:55.125579,Grid,"Sampaloc, Manila",2.3738,38,58,123,628,5.5424,33,628
2025-02-21T23:38:08.338983,Grid,"Sampaloc, Manila",2.3453,38,58,123,628,5.5096,33,628
2025-02-21T23:38:21.588593,Grid,"Sampaloc, Manila",2.3747,38,58,123,628,5.5941,33,628
2025-02-21T23:38:34.876234,Grid,"Sampaloc, Manila",2.3589,38,58,123,628,5.6445,33,628
